COUNTRY,CITY,YEAR,PM25,latitude,longitude,POPULATION,WBINC16,REGION,CONC_PM25,COLOR_PM25,GEOM
Australia,Whyalla,2014,7.092580383,-33.0298,137.55955,22754,High income,Western Pacific (HIC),<10,green,"{""srid"":4326,""version"":1,""points"":[{""x"":137.56,""y"":-33.0298,""z"":null,""m"":null}],""figures"":[{""attribute"":1,""pointOffset"":0}],""shapes"":[{""parentOffset"":-1,""figureOffset"":0,""type"":1}],""segments"":[]}"
Australia,Wollongong,2014,7.00922619,-34.48977433,150.8296773,268944,High income,Western Pacific (HIC),<10,green,"{""srid"":4326,""version"":1,""points"":[{""x"":150.83,""y"":-34.4898,""z"":null,""m"":null}],""figures"":[{""attribute"":1,""pointOffset"":0}],""shapes"":[{""parentOffset"":-1,""figureOffset"":0,""type"":1}],""segments"":[]}"
Australia,Wyong,2014,5.485185185,-33.278966,151.432414,149746,High income,Western Pacific (HIC),<10,green,"{""srid"":4326,""version"":1,""points"":[{""x"":151.432,""y"":-33.279,""z"":null,""m"":null}],""figures"":[{""attribute"":1,""pointOffset"":0}],""shapes"":[{""parentOffset"":-1,""figureOffset"":0,""type"":1}],""segments"":[]}"
Australia,Canberra,2014,6.8,-35.41881,149.0969,422674,High income,Western Pacific (HIC),<10,green,"{""srid"":4326,""version"":1,""points"":[{""x"":149.097,""y"":-35.4188,""z"":null,""m"":null}],""figures"":[{""attribute"":1,""pointOffset"":0}],""shapes"":[{""parentOffset"":-1,""figureOffset"":0,""type"":1}],""segments"":[]}"
Austria,Amstetten,2014,13.63723692,48.12027759,14.87875553,22847,High income,Europe (HIC),10-<15,yellow,"{""srid"":4326,""version"":1,""points"":[{""x"":14.8788,""y"":48.1203,""z"":null,""m"":null}],""figures"":[{""attribute"":1,""pointOffset"":0}],""shapes"":[{""parentOffset"":-1,""figureOffset"":0,""type"":1}],""segments"":[]}"
Austria,Arnoldstein,2014,7.876194584,46.5579095,13.7052065,6879,High income,Europe (HIC),<10,green,"{""srid"":4326,""version"":1,""points"":[{""x"":13.7052,""y"":46.5579,""z"":null,""m"":null}],""figures"":[{""attribute"":1,""pointOffset"":0}],""shapes"":[{""parentOffset"":-1,""figureOffset"":0,""type"":1}],""segments"":[]}"
Austria,Bad Voslau,2014,11.69550273,47.95958304,16.20639207,11316,High income,Europe (HIC),10-<15,yellow,"{""srid"":4326,""version"":1,""points"":[{""x"":16.2064,""y"":47.9596,""z"":null,""m"":null}],""figures"":[{""attribute"":1,""pointOffset"":0}],""shapes"":[{""parentOffset"":-1,""figureOffset"":0,""type"":1}],""segments"":[]}"
Austria,Biedermannsdorf,2014,13.10349984,48.0833327,16.33722264,2864,High income,Europe (HIC),10-<15,yellow,"{""srid"":4326,""version"":1,""points"":[{""x"":16.3372,""y"":48.0833,""z"":null,""m"":null}],""figures"":[{""attribute"":1,""pointOffset"":0}],""shapes"":[{""parentOffset"":-1,""figureOffset"":0,""type"":1}],""segments"":[]}"
Austria,Bludenz,2014,9.581314288,47.15629784,9.825087225,13701,High income,Europe (HIC),<10,green,"{""srid"":4326,""version"":1,""points"":[{""x"":9.82509,""y"":47.1563,""z"":null,""m"":null}],""figures"":[{""attribute"":1,""pointOffset"":0}],""shapes"":[{""parentOffset"":-1,""figureOffset"":0,""type"":1}],""segments"":[]}"
Austria,Bratislava,2014,16.80032585,48.10930517,17.07083492,5919,High income,Europe (HIC),15-<25,orange,"{""srid"":4326,""version"":1,""points"":[{""x"":17.0708,""y"":48.1093,""z"":null,""m"":null}],""figures"":[{""attribute"":1,""pointOffset"":0}],""shapes"":[{""parentOffset"":-1,""figureOffset"":0,""type"":1}],""segments"":[]}"
Austria,Braunau Am Inn,2014,12.71276995,48.25805645,13.03986395,16197,High income,Europe (HIC),10-<15,yellow,"{""srid"":4326,""version"":1,""points"":[{""x"":13.0399,""y"":48.2581,""z"":null,""m"":null}],""figures"":[{""attribute"":1,""pointOffset"":0}],""shapes"":[{""parentOffset"":-1,""figureOffset"":0,""type"":1}],""segments"":[]}"
Austria,Brixlegg,2014,10.65679564,47.42912353,11.87204802,2800,High income,Europe (HIC),10-<15,yellow,"{""srid"":4326,""version"":1,""points"":[{""x"":11.872,""y"":47.4291,""z"":null,""m"":null}],""figures"":[{""attribute"":1,""pointOffset"":0}],""shapes"":[{""parentOffset"":-1,""figureOffset"":0,""type"":1}],""segments"":[]}"
Austria,Bruck An Der Mur,2014,15.80261941,47.40944486,15.25333448,15649,High income,Europe (HIC),15-<25,orange,"{""srid"":4326,""version"":1,""points"":[{""x"":15.2533,""y"":47.4094,""z"":null,""m"":null}],""figures"":[{""attribute"":1,""pointOffset"":0}],""shapes"":[{""parentOffset"":-1,""figureOffset"":0,""type"":1}],""segments"":[]}"
Austria,Burgfried,2014,11.6762532,47.68305569,13.10065467,5919,High income,Europe (HIC),10-<15,yellow,"{""srid"":4326,""version"":1,""points"":[{""x"":13.1007,""y"":47.6831,""z"":null,""m"":null}],""figures"":[{""attribute"":1,""pointOffset"":0}],""shapes"":[{""parentOffset"":-1,""figureOffset"":0,""type"":1}],""segments"":[]}"
Austria,Deutschlandsberg,2014,12.83673395,46.81388878,15.21278138,11304,High income,Europe (HIC),10-<15,yellow,"{""srid"":4326,""version"":1,""points"":[{""x"":15.2128,""y"":46.8139,""z"":null,""m"":null}],""figures"":[{""attribute"":1,""pointOffset"":0}],""shapes"":[{""parentOffset"":-1,""figureOffset"":0,""type"":1}],""segments"":[]}"
Austria,Donawitz,2014,13.41495366,47.3757404,15.07550266,5919,High income,Europe (HIC),10-<15,yellow,"{""srid"":4326,""version"":1,""points"":[{""x"":15.0755,""y"":47.3757,""z"":null,""m"":null}],""figures"":[{""attribute"":1,""pointOffset"":0}],""shapes"":[{""parentOffset"":-1,""figureOffset"":0,""type"":1}],""segments"":[]}"
Austria,Dornbirn,2014,9.705505995,47.41043375,9.743807897,45922,High income,Europe (HIC),<10,green,"{""srid"":4326,""version"":1,""points"":[{""x"":9.74381,""y"":47.4104,""z"":null,""m"":null}],""figures"":[{""attribute"":1,""pointOffset"":0}],""shapes"":[{""parentOffset"":-1,""figureOffset"":0,""type"":1}],""segments"":[]}"
Austria,Durnrohr,2014,14.40512996,48.33111111,15.90361111,5919,High income,Europe (HIC),10-<15,yellow,"{""srid"":4326,""version"":1,""points"":[{""x"":15.9036,""y"":48.3311,""z"":null,""m"":null}],""figures"":[{""attribute"":1,""pointOffset"":0}],""shapes"":[{""parentOffset"":-1,""figureOffset"":0,""type"":1}],""segments"":[]}"
Austria,Ebenthal In Karnten,2014,12.28212841,46.60930569,14.3984722,7698,High income,Europe (HIC),10-<15,yellow,"{""srid"":4326,""version"":1,""points"":[{""x"":14.3985,""y"":46.6093,""z"":null,""m"":null}],""figures"":[{""attribute"":1,""pointOffset"":0}],""shapes"":[{""parentOffset"":-1,""figureOffset"":0,""type"":1}],""segments"":[]}"
